ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,,,,,,,97.15241599673227,10.098522167487685,4,,,,,,
,,,,,,,,,97.15241599673227,10.160098522167488,4,,,,,,
,,,,,,,,,97.15241599673227,10.22167487684729,4,,,,,,
,,,,,,,,,97.15241599673227,10.283251231527094,4,,,,,,
,,,,,,,,,97.15241599673229,10.344827586206897,4,,,,,,
,,,,,,,,,97.1524159967323,10.4064039408867,4,,,,,,
,,,,,,,,,97.1524159967323,10.467980295566502,4,,,,,,
,,,,,,,,,97.1524159967323,10.529556650246306,4,,,,,,
,,,,,,,,,97.1524159967323,10.591133004926109,4,,,,,,
,,,,,,,,,97.1524159967323,10.652709359605911,4,,,,,,
,,,,,,,,,97.1524159967323,10.714285714285715,4,,,,,,
,,,,,,,,,97.15241599673232,10.775862068965518,4,,,,,,
,,,,,,,,,97.15241599673232,10.83743842364532,4,,,,,,
,,,,,,,,,97.15241599673232,10.899014778325123,4,,,,,,
,,,,,,,,,97.15241599673232,10.960591133004927,4,,,,,,
,,,,,,,,,97.15241599673232,11.02216748768473,4,,,,,,
,,,,,,,,,97.15241599673232,11.083743842364532,4,,,,,,
,,,,,,,,,97.15241599673232,11.145320197044335,4,,,,,,
,,,,,,,,,97.15241599673232,11.206896551724139,4,,,,,,
,,,,,,,,,97.15241599673232,11.268472906403941,4,,,,,,
,,,,,,,,,97.15241599673232,11.330049261083744,4,,,,,,
,,,,,,,,,97.15241599673232,11.391625615763546,4,,,,,,
,,,,,,,,,97.15241599673233,11.45320197044335,4,,,,,,
,,,,,,,,,97.15241599673233,11.514778325123153,4,,,,,,
,,,,,,,,,97.15241599673233,11.576354679802956,4,,,,,,
,,,,,,,,,97.15241599673233,11.637931034482758,4,,,,,,
,,,,,,,,,97.15241599673233,11.699507389162562,4,,,,,,
,,,,,,,,,97.15241599673233,11.761083743842365,4,,,,,,
,,,,,,,,,97.15241599673233,11.822660098522167,4,,,,,,
,,,,,,,,,97.15241599673233,11.884236453201972,4,,,,,,
,,,,,,,,,97.15241599673233,11.945812807881774,4,,,,,,
,,,,,,,,,97.15241599673233,12.007389162561577,4,,,,,,
,,,,,,,,,97.15241599673233,12.068965517241379,4,,,,,,
,,,,,,,,,97.15241599673233,12.130541871921183,4,,,,,,
,,,,,,,,,97.15241599673233,12.192118226600986,4,,,,,,
,,,,,,,,,97.15241599673233,12.253694581280788,4,,,,,,
,,,,,,,,,97.15241599673233,12.31527093596059,4,,,,,,
,,,,,,,,,97.15241599673233,12.376847290640395,4,,,,,,
,,,,,,,,,97.15241599673234,12.438423645320198,4,,,,,,
,,,,,,,,,97.15241599673234,12.5,4,,,,,,
,,,,,,,,,97.15241599673234,12.561576354679802,4,,,,,,
,,,,,,,,,97.15241599673234,12.623152709359607,4,,,,,,
,,,,,,,,,97.15241599673234,12.68472906403941,4,,,,,,
,,,,,,,,,97.15241599673234,12.746305418719212,4,,,,,,
,,,,,,,,,97.15241599673234,12.807881773399014,4,,,,,,
,,,,,,,,,97.15241599673234,12.869458128078819,4,,,,,,
,,,,,,,,,97.15241599673234,12.931034482758621,4,,,,,,
